States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato,Date,Season
Tamil Nadu,2482,2694,2442.5,8740,12160,15440,7920,7350,3890,,14839.6,,8231.6,,9054.2,6655.2,4252,,1530,2020,1260,2240,30-04-2016,1
Tamil Nadu,3350,2775,2533.33,7250,5750,8337.5,6087.5,4800,4152.5,,14216.5,,8612,,8859.75,6400.5,4625,,1512.5,1400,1025,4750,01-05-2016,1
Tamil Nadu,3210,2692,2515,4920,6240,6670,6670,4800,3656,,13324.2,,9090.4,,9607.8,8171.8,4360,,1500,2040,1500,1380,02-05-2016,1
Tamil Nadu,3370,2922,3084,6340,8680,8520,8400,5640,3570,,14799.8,9500,7673.6,,9477,6653.2,4370,,1587.5,1880,1840,3040,03-05-2016,1
Tamil Nadu,2504,2720,2455,10220,11630,13575,7370,7400,3944,,15136.8,,8158.4,,9023.4,6478.8,4399,,1540,2100,1220,960,04-05-2016,1
Tamil Nadu,3333.2,2715,2533.33,7140,5660,7740,5900,4650,4068,,13962.4,,8445.6,,8791,6150.8,4780,,1510,1340,1600,3940,05-05-2016,1
Tamil Nadu,3170,2760,2687.5,5714,6320,6540,6720,5093.33,3716,,13177,,9090.4,,9868,8062,4500,,1500,2200,1600,900,06-05-2016,1
Tamil Nadu,3400,3012.5,3110,6350,8425,8425,8275,5800,3515,,14969.75,,7594.75,,9575,6697.25,4291.75,,1645,2150,1825,2600,07-05-2016,1
Tamil Nadu,2500,2720,2527.5,9240,9860,12370,6690,6850,3892,,15236,,8401.6,,9067,7307,4816,,1540,2060,1140,660,08-05-2016,1
Tamil Nadu,3300,2725,2533.33,7450,6450,8125,6525,5100,4090,,14148.25,,8612,,8818.5,6579.25,5275,,1512.5,1350,2325,2450,09-05-2016,1
Tamil Nadu,3137.5,3037.5,2883.33,5775,6312.5,6462.5,6737.5,5230,3597.5,,13035.5,,8661,,9687,7468.5,4600,,1512.5,2175,1400,750,10-05-2016,1
Tamil Nadu,3400,2940,3048,6280,8560,8390,8400,5780,3630,,15096.6,,7803.2,,9865.6,7150.8,4520,,1640,1700,2680,960,11-05-2016,1
Tamil Nadu,2655,2744,2527.5,10680,11060,11510,7000,6850,3890,,15078.6,,8511.6,,8979.2,7075.4,4638,,1540,2000,1280,1340,12-05-2016,1
Tamil Nadu,3312.5,2615,2420,7500,6350,7975,6470,4950,4098,,13607,,8749,,8598.25,6628.4,5140,,1487.5,1340,2100,1320,13-05-2016,1
